gdb-peda$ disas 0x4ac059 (just sent "POST ..")
Dump of assembler code for function httpd_helper_thread:
   0x00000000004abed0 <+0>:	push   r15
   0x00000000004ac524 <+1620>:	jmp    0x4ac5fb <httpd_helper_thread+1835>
   0x00000000004ac529 <+1625>:	nop    DWORD PTR [rax+0x0]
   0x00000000004ac530 <+1632>:	test   BYTE PTR [rip+0x2fcc4b],0x80        # 0x7a9182 <ast_options+2>
   0x00000000004ac537 <+1639>:	jne    0x4ac5dd <httpd_helper_thread+1805>
   0x00000000004ac53d <+1645>:	mov    r15,QWORD PTR [rbx+0x10]
   0x00000000004ac541 <+1649>:	mov    rdi,r15
   0x00000000004ac544 <+1652>:	call   0x41d120 <strlen@plt>
   0x00000000004ac549 <+1657>:	mov    rsi,QWORD PTR [rsp+0x18]
   0x00000000004ac54e <+1662>:	movsxd rcx,eax
   0x00000000004ac551 <+1665>:	mov    rdi,r15
   0x00000000004ac554 <+1668>:	mov    rdx,rcx
   0x00000000004ac557 <+1671>:	mov    QWORD PTR [rsp+0x10],rcx
   0x00000000004ac55c <+1676>:	mov    r12d,eax
   0x00000000004ac55f <+1679>:	call   0x41dc20 <strncasecmp@plt>
   0x00000000004ac564 <+1684>:	test   eax,eax
   0x00000000004ac566 <+1686>:	mov    rcx,QWORD PTR [rsp+0x10]
   0x00000000004ac56b <+1691>:	jne    0x4ac597 <httpd_helper_thread+1735>
   0x00000000004ac56d <+1693>:	mov    r15,QWORD PTR [rsp+0x18]
   0x00000000004ac572 <+1698>:	add    r15,rcx
   0x00000000004ac575 <+1701>:	movzx  eax,BYTE PTR [r15]
   0x00000000004ac579 <+1705>:	cmp    al,0x2f
   0x00000000004ac57b <+1707>:	je     0x4ac581 <httpd_helper_thread+1713>
   0x00000000004ac57d <+1709>:	test   al,al
   0x00000000004ac57f <+1711>:	jne    0x4ac597 <httpd_helper_thread+1735>
   0x00000000004ac581 <+1713>:	cmp    al,0x2f
   0x00000000004ac583 <+1715>:	je     0x4ac5f1 <httpd_helper_thread+1825>
   0x00000000004ac585 <+1717>:	test   al,al
   0x00000000004ac587 <+1719>:	je     0x4ac61f <httpd_helper_thread+1871>
   0x00000000004ac58d <+1725>:	test   BYTE PTR [rbx+0x20],0x1
   0x00000000004ac591 <+1729>:	jne    0x4ac61f <httpd_helper_thread+1871>
   0x00000000004ac597 <+1735>:	mov    rbx,QWORD PTR [rbx]
   0x00000000004ac59a <+1738>:	test   rbx,rbx
   0x00000000004ac59d <+1741>:	je     0x4ac5fb <httpd_helper_thread+1835>
   0x00000000004ac59f <+1743>:	cmp    DWORD PTR [rip+0x337f56],0x1        # 0x7e44fc <option_debug>
   0x00000000004ac5a6 <+1750>:	jle    0x4ac530 <httpd_helper_thread+1632>
   0x00000000004ac5a8 <+1752>:	mov    DWORD PTR [rsp+0x8],r12d
   0x00000000004ac5ad <+1757>:	mov    rax,QWORD PTR [rbx+0x10]
   0x00000000004ac5b1 <+1761>:	mov    r8d,0x55ef30
   0x00000000004ac5b7 <+1767>:	mov    r9,QWORD PTR [rsp+0x18]
   0x00000000004ac5bc <+1772>:	mov    ecx,0x55f5ac
   0x00000000004ac5c1 <+1777>:	mov    edx,0x2da
   0x00000000004ac5c6 <+1782>:	mov    esi,0x55e7af
   0x00000000004ac5cb <+1787>:	xor    edi,edi
   0x00000000004ac5cd <+1789>:	mov    QWORD PTR [rsp],rax
   0x00000000004ac5d1 <+1793>:	xor    eax,eax
   0x00000000004ac5d3 <+1795>:	call   0x4b5bf0 <ast_log>
   0x00000000004ac5d8 <+1800>:	jmp    0x4ac53d <httpd_helper_thread+1645>
   0x00000000004ac5dd <+1805>:	mov    edi,0x5475d7
   0x00000000004ac5e2 <+1810>:	call   0x470400 <ast_debug_get_by_module>
   0x00000000004ac5e7 <+1815>:	cmp    eax,0x1
   0x00000000004ac5ea <+1818>:	ja     0x4ac5a8 <httpd_helper_thread+1752>
   0x00000000004ac5ec <+1820>:	jmp    0x4ac53d <httpd_helper_thread+1645>
   0x00000000004ac5f1 <+1825>:	movzx  eax,BYTE PTR [r15+0x1]
   0x00000000004ac5f6 <+1830>:	inc    r15
   0x00000000004ac5f9 <+1833>:	jmp    0x4ac585 <httpd_helper_thread+1717>
   0x00000000004ac5fb <+1835>:	mov    r8d,0x55e827
   0x00000000004ac601 <+1841>:	mov    ecx,0x7afa70
   0x00000000004ac606 <+1846>:	mov    edx,0x55f5ac
   0x00000000004ac60b <+1851>:	mov    esi,0x2e9
   0x00000000004ac610 <+1856>:	mov    edi,0x55e7af
   0x00000000004ac615 <+1861>:	call   0x4b4ce0 <__ast_rwlock_unlock>
   0x00000000004ac61a <+1866>:	jmp    0x4ac4c7 <httpd_helper_thread+1527>
   0x00000000004ac61f <+1871>:	mov    r8d,0x55e827
   0x00000000004ac625 <+1877>:	mov    ecx,0x7afa70
   0x00000000004ac62a <+1882>:	mov    edx,0x55f5ac
   0x00000000004ac62f <+1887>:	mov    esi,0x2e9
   0x00000000004ac634 <+1892>:	mov    edi,0x55e7af
   0x00000000004ac639 <+1897>:	call   0x4b4ce0 <__ast_rwlock_unlock>
   0x00000000004ac63e <+1902>:	test   rbx,rbx
   0x00000000004ac641 <+1905>:	je     0x4ac4c7 <httpd_helper_thread+1527>
   0x00000000004ac647 <+1911>:	mov    r9,r13
   0x00000000004ac64a <+1914>:	mov    r8,r14
   0x00000000004ac64d <+1917>:	mov    ecx,DWORD PTR [rsp+0x2c]
   0x00000000004ac651 <+1921>:	mov    rdx,r15
   0x00000000004ac654 <+1924>:	mov    rsi,rbx
   0x00000000004ac657 <+1927>:	mov    rdi,rbp
   0x00000000004ac65a <+1930>:	call   QWORD PTR [rbx+0x18]
   0x00000000004ac65d <+1933>:	jmp    0x4ac3f9 <httpd_helper_thread+1321>
   0x00000000004ac662 <+1938>:	mov    r9d,0x55f50a
   0x00000000004ac668 <+1944>:	mov    r8d,0x53acd0
   0x00000000004ac66e <+1950>:	mov    ecx,0x55f4fe
   0x00000000004ac673 <+1955>:	mov    edx,0x1ea
   0x00000000004ac678 <+1960>:	mov    esi,0x53ad10
   0x00000000004ac67d <+1965>:	mov    edi,0x4
   0x00000000004ac682 <+1970>:	xor    eax,eax
   0x00000000004ac684 <+1972>:	mov    QWORD PTR [rsp+0x8],0x53b718
   0x00000000004ac68d <+1981>:	mov    DWORD PTR [rsp],0x1a4
   0x00000000004ac694 <+1988>:	call   0x4b5bf0 <ast_log>
   0x00000000004ac699 <+1993>:	jmp    0x4ac390 <httpd_helper_thread+1216>
   0x00000000004ac69e <+1998>:	call   0x41d9c0 <__stack_chk_fail@plt>

